doi,model,K,measurement_cost,abs_error
10.1007/s10008-002-0300-9,cost_sensitive_budget_policy,3,0.02,0.031219012752912945
10.1007/s10008-002-0300-9,cost_sensitive_budget_policy,4,0.005,0.0037559641146845957
10.1007/s10008-002-0300-9,cost_sensitive_budget_policy,4,0.01,0.0037559641146845957
10.1007/s10008-002-0300-9,cost_sensitive_budget_policy,5,0.0,0.0022094930544007685
10.1007/s10008-002-0300-9,cost_sensitive_budget_policy,5,0.0025,0.0022094930544007685
10.1007/s10008-002-0300-9,fixed_target_router,3,,0.031219012752912945
10.1007/s10008-002-0300-9,fixed_target_router,4,,0.0037559641146845957
10.1007/s10008-002-0300-9,fixed_target_router,5,,0.0022094930544007685
10.1016/0378-7753(91)80004-H,cost_sensitive_budget_policy,4,0.01,0.041678084433417036
10.1016/0378-7753(91)80004-H,cost_sensitive_budget_policy,4,0.02,0.041678084433417036
10.1016/0378-7753(91)80004-H,cost_sensitive_budget_policy,5,0.0,0.02429375160457271
10.1016/0378-7753(91)80004-H,cost_sensitive_budget_policy,5,0.0025,0.02429375160457271
10.1016/0378-7753(91)80004-H,cost_sensitive_budget_policy,5,0.005,0.02429375160457271
10.1016/0378-7753(91)80004-H,fixed_target_router,3,,0.08659740407280553
10.1016/0378-7753(91)80004-H,fixed_target_router,4,,0.041678084433417036
10.1016/0378-7753(91)80004-H,fixed_target_router,5,,0.02429375160457271
10.1016/S0013-4686(99)00431-4,cost_sensitive_budget_policy,3,0.02,0.01444411595221215
10.1016/S0013-4686(99)00431-4,cost_sensitive_budget_policy,4,0.01,0.006547620685437502
10.1016/S0013-4686(99)00431-4,cost_sensitive_budget_policy,5,0.0,0.004147822559017231
10.1016/S0013-4686(99)00431-4,cost_sensitive_budget_policy,5,0.0025,0.004147822559017231
10.1016/S0013-4686(99)00431-4,cost_sensitive_budget_policy,5,0.005,0.004147822559017231
10.1016/S0013-4686(99)00431-4,fixed_target_router,3,,0.01444411595221215
10.1016/S0013-4686(99)00431-4,fixed_target_router,4,,0.006547620685437502
10.1016/S0013-4686(99)00431-4,fixed_target_router,5,,0.004147822559017231
10.1016/j.jpowsour.2010.12.040,cost_sensitive_budget_policy,4,0.02,0.00030777652368274566
10.1016/j.jpowsour.2010.12.040,cost_sensitive_budget_policy,5,0.0,0.0010397130112032027
10.1016/j.jpowsour.2010.12.040,cost_sensitive_budget_policy,5,0.0025,0.0010397130112032027
10.1016/j.jpowsour.2010.12.040,cost_sensitive_budget_policy,5,0.005,0.0010397130112032027
