held_out_doi,outer_fold,selected_p,inner_mae_p4,inner_mae_p5,inner_mae_p6
10.1007/s10008-002-0300-9,0,4,0.014141089871525889,0.016039950895314087,0.01628012754596343
10.1016/0378-7753(91)80004-H,1,4,0.01905627767156803,0.02264015137738282,0.028353841761756537
10.1016/S0013-4686(99)00431-4,2,4,0.01951738530596384,0.020463888095033,0.021648412855507167
10.1016/j.jpowsour.2010.12.040,3,4,0.03228043771780268,0.03382615903008499,0.0386001803436663
10.1016/j.jpowsour.2011.06.030,4,4,0.021257815883980683,0.021954859060103166,0.024047829101632636
10.1016/j.jpowsour.2011.07.071,5,4,0.026709205814553785,0.02906082665166521,0.03429050658118881
10.1021/JE020219O,6,4,0.02178101389273808,0.023870824701905626,0.02688567367471302
10.1021/je0498863,7,4,0.029561674793388382,0.031345858234178896,0.037221281486944
10.1149/1.1344281,8,4,0.01700828500023511,0.0176239298034807,0.01776487427589771
10.1149/1.1390879,9,4,0.014010830390480735,0.01631303615419333,0.019856523167858603
10.1149/1.1403730,10,4,0.022298693773527428,0.025514730981534926,0.0266027706091168
10.1149/1.1466857,11,4,0.0125861618818077,0.014190274875611877,0.015071510100229687
10.1149/1.1513556,12,4,0.022462874376098545,0.024765689392683737,0.030927136457727312
10.1149/1.1527939,13,4,0.018433029801295898,0.020623201213270773,0.022198564113752706
10.1149/1.1566019,14,4,0.011449556304693928,0.013289271523288237,0.016627085748336424
10.1149/1.1630593,15,4,0.022835183572812983,0.024288250365113003,0.029658119888283884
10.1149/1.1833611,16,4,0.028158197203531948,0.030567436342916633,0.03838030765541131
10.1149/1.1914757,17,4,0.02248207853897194,0.024712028392308377,0.02758410342125468
10.1149/2.0571912jes,18,4,0.014246295321520488,0.014923046020149508,0.015435666489876957
