held_out_doi,outer_fold,selected_p,measurement_cost,selected_K,inner_objective,inner_mae_K3,inner_mae_K4,inner_mae_K5
10.1007/s10008-002-0300-9,0,4,0.0,5,0.007662406102422661,0.02360966282734198,0.011151200684813027,0.007662406102422661
10.1007/s10008-002-0300-9,0,4,0.0025,5,0.012662406102422662,0.02360966282734198,0.011151200684813027,0.007662406102422661
10.1007/s10008-002-0300-9,0,4,0.005,4,0.016151200684813027,0.02360966282734198,0.011151200684813027,0.007662406102422661
10.1007/s10008-002-0300-9,0,4,0.01,4,0.021151200684813028,0.02360966282734198,0.011151200684813027,0.007662406102422661
10.1007/s10008-002-0300-9,0,4,0.02,3,0.02360966282734198,0.02360966282734198,0.011151200684813027,0.007662406102422661
10.1016/0378-7753(91)80004-H,1,4,0.0,5,0.007252295161856256,0.037606248063184786,0.012310289789663047,0.007252295161856256
10.1016/0378-7753(91)80004-H,1,4,0.0025,5,0.012252295161856256,0.037606248063184786,0.012310289789663047,0.007252295161856256
10.1016/0378-7753(91)80004-H,1,4,0.005,5,0.017252295161856255,0.037606248063184786,0.012310289789663047,0.007252295161856256
10.1016/0378-7753(91)80004-H,1,4,0.01,4,0.022310289789663047,0.037606248063184786,0.012310289789663047,0.007252295161856256
10.1016/0378-7753(91)80004-H,1,4,0.02,4,0.03231028978966305,0.037606248063184786,0.012310289789663047,0.007252295161856256
10.1016/S0013-4686(99)00431-4,2,4,0.0,5,0.010960627632821681,0.031055007475130902,0.01653652080993894,0.010960627632821681
10.1016/S0013-4686(99)00431-4,2,4,0.0025,5,0.015960627632821682,0.031055007475130902,0.01653652080993894,0.010960627632821681
10.1016/S0013-4686(99)00431-4,2,4,0.005,5,0.02096062763282168,0.031055007475130902,0.01653652080993894,0.010960627632821681
10.1016/S0013-4686(99)00431-4,2,4,0.01,4,0.026536520809938943,0.031055007475130902,0.01653652080993894,0.010960627632821681
10.1016/S0013-4686(99)00431-4,2,4,0.02,3,0.031055007475130902,0.031055007475130902,0.01653652080993894,0.010960627632821681
10.1016/j.jpowsour.2010.12.040,3,4,0.0,5,0.01647644330650777,0.052860398698855574,0.027504471148044708,0.01647644330650777
10.1016/j.jpowsour.2010.12.040,3,4,0.0025,5,0.021476443306507772,0.052860398698855574,0.027504471148044708,0.01647644330650777
