held_out_doi,outer_fold,calibration_seed,random_state,K,branch,nominal,coverage,mean_width,n_fit_dois,n_calibration_dois,n_test_queries,vft_t0
10.1007/s10008-002-0300-9,0,0,20260901,3,RF_constrained_rate,0.8,0.0,0.021631736430566706,13,5,1,
10.1007/s10008-002-0300-9,0,0,20260901,3,RF_constrained_rate,0.9,0.0,0.03910178518613616,13,5,1,
10.1007/s10008-002-0300-9,0,0,20260901,3,RF_constrained_rate,0.95,0.0,0.06402826205901864,13,5,1,
10.1007/s10008-002-0300-9,0,0,20260901,4,VFT,0.8,1.0,0.017036614060481847,13,5,1,160.0
10.1007/s10008-002-0300-9,0,0,20260901,4,VFT,0.9,1.0,0.024181994838984977,13,5,1,160.0
10.1007/s10008-002-0300-9,0,0,20260901,4,VFT,0.95,1.0,0.037010623143703736,13,5,1,160.0
10.1007/s10008-002-0300-9,0,0,20260901,5,VFT,0.8,1.0,0.02318756565325386,13,5,1,160.0
10.1007/s10008-002-0300-9,0,0,20260901,5,VFT,0.9,1.0,0.03155980118740631,13,5,1,160.0
10.1007/s10008-002-0300-9,0,0,20260901,5,VFT,0.95,1.0,0.046388142144178746,13,5,1,160.0
10.1007/s10008-002-0300-9,0,1,20260902,3,RF_constrained_rate,0.8,0.0,0.02006990879767634,13,5,1,
10.1007/s10008-002-0300-9,0,1,20260902,3,RF_constrained_rate,0.9,0.0,0.03062011756590488,13,5,1,
10.1007/s10008-002-0300-9,0,1,20260902,3,RF_constrained_rate,0.95,1.0,0.0627519287800864,13,5,1,
10.1007/s10008-002-0300-9,0,1,20260902,4,VFT,0.8,1.0,0.016256941115079027,13,5,1,160.0
10.1007/s10008-002-0300-9,0,1,20260902,4,VFT,0.9,1.0,0.024003356250963837,13,5,1,160.0
10.1007/s10008-002-0300-9,0,1,20260902,4,VFT,0.95,1.0,0.03767330979830219,13,5,1,160.0
10.1007/s10008-002-0300-9,0,1,20260902,5,VFT,0.8,1.0,0.023519489917688485,13,5,1,160.0
10.1007/s10008-002-0300-9,0,1,20260902,5,VFT,0.9,1.0,0.033473344008164485,13,5,1,160.0
10.1007/s10008-002-0300-9,0,1,20260902,5,VFT,0.95,1.0,0.04812173203720116,13,5,1,160.0
10.1007/s10008-002-0300-9,0,2,20260903,3,RF_constrained_rate,0.8,0.0,0.024847392229470522,13,5,1,
10.1007/s10008-002-0300-9,0,2,20260903,3,RF_constrained_rate,0.9,0.0,0.05678999760583925,13,5,1,
10.1007/s10008-002-0300-9,0,2,20260903,3,RF_constrained_rate,0.95,1.0,0.09098776134142295,13,5,1,
10.1007/s10008-002-0300-9,0,2,20260903,4,VFT,0.8,1.0,0.016283812834659184,13,5,1,160.0
10.1007/s10008-002-0300-9,0,2,20260903,4,VFT,0.9,1.0,0.03191219746019858,13,5,1,160.0
10.1007/s10008-002-0300-9,0,2,20260903,4,VFT,0.95,1.0,0.05077004901954063,13,5,1,160.0
10.1007/s10008-002-0300-9,0,2,20260903,5,VFT,0.8,1.0,0.012145410024555714,13,5,1,160.0
10.1007/s10008-002-0300-9,0,2,20260903,5,VFT,0.9,1.0,0.017687978135128457,13,5,1,160.0
10.1007/s10008-002-0300-9,0,2,20260903,5,VFT,0.95,1.0,0.03706070328747835,13,5,1,160.0
10.1007/s10008-002-0300-9,0,3,20260904,3,RF_constrained_rate,0.8,0.0,0.017997166900283856,13,5,1,
10.1007/s10008-002-0300-9,0,3,20260904,3,RF_constrained_rate,0.9,0.0,0.026936380450727437,13,5,1,
10.1007/s10008-002-0300-9,0,3,20260904,3,RF_constrained_rate,0.95,1.0,0.04787310055265814,13,5,1,
10.1007/s10008-002-0300-9,0,3,20260904,4,VFT,0.8,1.0,0.014828757304767626,13,5,1,160.0
10.1007/s10008-002-0300-9,0,3,20260904,4,VFT,0.9,1.0,0.024181994838984977,13,5,1,160.0
10.1007/s10008-002-0300-9,0,3,20260904,4,VFT,0.95,1.0,0.03835376113667688,13,5,1,160.0
10.1007/s10008-002-0300-9,0,3,20260904,5,VFT,0.8,1.0,0.016225034492652224,13,5,1,160.0
10.1007/s10008-002-0300-9,0,3,20260904,5,VFT,0.9,1.0,0.03066075653620337,13,5,1,160.0
10.1007/s10008-002-0300-9,0,3,20260904,5,VFT,0.95,1.0,0.03968219977077858,13,5,1,160.0
10.1007/s10008-002-0300-9,0,4,20260905,3,RF_constrained_rate,0.8,0.0,0.033200525809422565,13,5,1,
