outer_fold,held_out_doi,repetition,inner_split,random_state,p,inner_macro_mae,n_fit_dois,n_valid_dois
0,10.1007/s10008-002-0300-9,0,0,20260901,4,0.011017488996843272,13,5
0,10.1007/s10008-002-0300-9,0,0,20260901,5,0.013353314026437035,13,5
0,10.1007/s10008-002-0300-9,0,0,20260901,6,0.017470487160015407,13,5
0,10.1007/s10008-002-0300-9,0,1,20260902,4,0.013157084621876213,13,5
0,10.1007/s10008-002-0300-9,0,1,20260902,5,0.016985684635810194,13,5
0,10.1007/s10008-002-0300-9,0,1,20260902,6,0.02147705952437532,13,5
0,10.1007/s10008-002-0300-9,0,2,20260903,4,0.009239901521922483,13,5
0,10.1007/s10008-002-0300-9,0,2,20260903,5,0.00954865879681169,13,5
0,10.1007/s10008-002-0300-9,0,2,20260903,6,0.009406902271119698,13,5
0,10.1007/s10008-002-0300-9,1,0,20261001,4,0.005845384979732882,13,5
0,10.1007/s10008-002-0300-9,1,0,20261001,5,0.007333582674301735,13,5
0,10.1007/s10008-002-0300-9,1,0,20261001,6,0.008974294263965416,13,5
0,10.1007/s10008-002-0300-9,1,1,20261002,4,0.013670136601615163,13,5
0,10.1007/s10008-002-0300-9,1,1,20261002,5,0.015279646079384169,13,5
0,10.1007/s10008-002-0300-9,1,1,20261002,6,0.01858224501811239,13,5
0,10.1007/s10008-002-0300-9,1,2,20261003,4,0.011723970507019314,13,5
0,10.1007/s10008-002-0300-9,1,2,20261003,5,0.011939786159512324,13,5
0,10.1007/s10008-002-0300-9,1,2,20261003,6,0.011034444342492167,13,5
0,10.1007/s10008-002-0300-9,2,0,20261101,4,0.006147393024803492,13,5
0,10.1007/s10008-002-0300-9,2,0,20261101,5,0.007107361966693632,13,5
0,10.1007/s10008-002-0300-9,2,0,20261101,6,0.007599398446765169,13,5
0,10.1007/s10008-002-0300-9,2,1,20261102,4,0.0058922600730624535,13,5
0,10.1007/s10008-002-0300-9,2,1,20261102,5,0.005116713832838718,13,5
0,10.1007/s10008-002-0300-9,2,1,20261102,6,0.0035492278608710557,13,5
0,10.1007/s10008-002-0300-9,2,2,20261103,4,0.011277983114188369,13,5
0,10.1007/s10008-002-0300-9,2,2,20261103,5,0.011924238173220613,13,5
0,10.1007/s10008-002-0300-9,2,2,20261103,6,0.012009841287374881,13,5
0,10.1007/s10008-002-0300-9,3,0,20261201,4,0.008665757672209859,13,5
0,10.1007/s10008-002-0300-9,3,0,20261201,5,0.008500675174621808,13,5
0,10.1007/s10008-002-0300-9,3,0,20261201,6,0.008443727553326816,13,5
0,10.1007/s10008-002-0300-9,3,1,20261202,4,0.0101398295866348,13,5
0,10.1007/s10008-002-0300-9,3,1,20261202,5,0.01255640748222292,13,5
0,10.1007/s10008-002-0300-9,3,1,20261202,6,0.016767202150292974,13,5
0,10.1007/s10008-002-0300-9,3,2,20261203,4,0.006421591803700724,13,5
0,10.1007/s10008-002-0300-9,3,2,20261203,5,0.006181659137936322,13,5
0,10.1007/s10008-002-0300-9,3,2,20261203,6,0.005531858807717985,13,5
0,10.1007/s10008-002-0300-9,4,0,20261301,4,0.005060513768745325,13,5
0,10.1007/s10008-002-0300-9,4,0,20261301,5,0.005722485485958561,13,5
0,10.1007/s10008-002-0300-9,4,0,20261301,6,0.0065808282587312295,13,5
0,10.1007/s10008-002-0300-9,4,1,20261302,4,0.010391940333597973,13,5
0,10.1007/s10008-002-0300-9,4,1,20261302,5,0.011309360577874718,13,5
0,10.1007/s10008-002-0300-9,4,1,20261302,6,0.012346002448176362,13,5
0,10.1007/s10008-002-0300-9,4,2,20261303,4,0.0076577453913323126,13,5
0,10.1007/s10008-002-0300-9,4,2,20261303,5,0.008392139637802566,13,5
