outer_fold,held_out_doi,repetition,selected_p,mae_p4,mae_p5,mae_p6
0,10.1007/s10008-002-0300-9,0,4,0.01113815838021399,0.013295885819686305,0.01611814965183681
0,10.1007/s10008-002-0300-9,1,4,0.010413164029455788,0.011517671637732744,0.012863661208189991
0,10.1007/s10008-002-0300-9,2,6,0.007772545404018105,0.008049437990917655,0.007719489198337035
0,10.1007/s10008-002-0300-9,3,4,0.008409059687515128,0.00907958059826035,0.010247596170445926
0,10.1007/s10008-002-0300-9,4,4,0.007703399831225204,0.00847466190054528,0.009310906584204267
0,10.1007/s10008-002-0300-9,5,4,0.007158654395694494,0.008724723165650155,0.010382395806458914
0,10.1007/s10008-002-0300-9,6,4,0.010193925746925972,0.010795338098297245,0.010916750497566269
0,10.1007/s10008-002-0300-9,7,4,0.009344914074934313,0.0107407620619314,0.012368815005988637
0,10.1007/s10008-002-0300-9,8,4,0.011480958720641352,0.012527241328673706,0.013460344848856824
0,10.1007/s10008-002-0300-9,9,4,0.009807290499673996,0.010198526917606603,0.010106015121549532
0,10.1007/s10008-002-0300-9,10,4,0.011427263216617217,0.011905962490621647,0.01439478862252838
0,10.1007/s10008-002-0300-9,11,4,0.012500134845777179,0.01568743016784006,0.020376026328636377
0,10.1007/s10008-002-0300-9,12,4,0.012393155578742626,0.013681827000322057,0.015051370183986413
0,10.1007/s10008-002-0300-9,13,4,0.010477753299048266,0.011143856469981844,0.011796237661840686
0,10.1007/s10008-002-0300-9,14,4,0.008685862990572094,0.010165870603261332,0.011611823937556878
0,10.1007/s10008-002-0300-9,15,4,0.010255008196416155,0.011038286481604168,0.012923669372695817
0,10.1007/s10008-002-0300-9,16,4,0.00687026568828351,0.007737092025763277,0.008898866650641187
0,10.1007/s10008-002-0300-9,17,4,0.010043125088440097,0.01073359237547305,0.01175841099040626
0,10.1007/s10008-002-0300-9,18,4,0.0096047995833636,0.010441448713366329,0.010957097677051851
0,10.1007/s10008-002-0300-9,19,4,0.010259531631964353,0.011010817587756403,0.011137969925893611
1,10.1016/0378-7753(91)80004-H,0,4,0.006875959620291924,0.011219156192674141,0.015311439001595406
1,10.1016/0378-7753(91)80004-H,1,4,0.008043824700012059,0.010174314339049128,0.011759841780481235
1,10.1016/0378-7753(91)80004-H,2,4,0.014219142889389818,0.02070109266104567,0.029006884353413195
1,10.1016/0378-7753(91)80004-H,3,4,0.009734453700956854,0.011499381810839563,0.014767839191679054
1,10.1016/0378-7753(91)80004-H,4,4,0.012106904908964279,0.015473532786508702,0.02021132096093646
1,10.1016/0378-7753(91)80004-H,5,4,0.010339580356100801,0.0157740122672612,0.021712577230351474
1,10.1016/0378-7753(91)80004-H,6,4,0.01211181536094528,0.01874972412833161,0.025169632997020186
1,10.1016/0378-7753(91)80004-H,7,4,0.012238292618592808,0.018396872765080157,0.025037008423058758
1,10.1016/0378-7753(91)80004-H,8,4,0.010874911938543718,0.014790722643009133,0.018397045500851437
1,10.1016/0378-7753(91)80004-H,9,4,0.010405957846972312,0.013167800447998956,0.017814096500975866
