doi,model,abs_error
10.1007/s10008-002-0300-9,independent_per_curve_GPR,0.045002379866950624
10.1007/s10008-002-0300-9,VFT,0.0017975694098501711
10.1007/s10008-002-0300-9,nested_budget_router,0.007366796689808293
10.1016/0378-7753(91)80004-H,independent_per_curve_GPR,0.2331882788882157
10.1016/0378-7753(91)80004-H,VFT,0.020902846543324832
10.1016/0378-7753(91)80004-H,nested_budget_router,0.02061484636489692
10.1016/S0013-4686(99)00431-4,independent_per_curve_GPR,0.05694093895880072
10.1016/S0013-4686(99)00431-4,VFT,0.0029972668728085092
10.1016/S0013-4686(99)00431-4,nested_budget_router,0.0035178170598452324
10.1016/j.jpowsour.2010.12.040,independent_per_curve_GPR,0.09757736990735892
10.1016/j.jpowsour.2010.12.040,VFT,0.0009409784911738791
10.1016/j.jpowsour.2010.12.040,nested_budget_router,0.0007014713067947653
10.1016/j.jpowsour.2011.06.030,independent_per_curve_GPR,0.05512784587255933
10.1016/j.jpowsour.2011.06.030,VFT,0.002731053813746954
10.1016/j.jpowsour.2011.06.030,nested_budget_router,0.002714452179734255
10.1016/j.jpowsour.2011.07.071,independent_per_curve_GPR,0.012962500768969062
10.1016/j.jpowsour.2011.07.071,VFT,0.0033071976964271776
10.1016/j.jpowsour.2011.07.071,nested_budget_router,0.0028866585813610937
10.1021/JE020219O,independent_per_curve_GPR,0.12006291300783938
10.1021/JE020219O,VFT,0.003752723005778108
10.1021/JE020219O,nested_budget_router,0.003940075885232308
10.1021/je0498863,independent_per_curve_GPR,0.14064759887692413
10.1021/je0498863,VFT,0.007349449534823238
10.1021/je0498863,nested_budget_router,0.004432170148099289
10.1149/1.1344281,independent_per_curve_GPR,0.026874335645836512
10.1149/1.1344281,VFT,0.0060308961927371535
10.1149/1.1344281,nested_budget_router,0.00811955233845629
10.1149/1.1390879,independent_per_curve_GPR,0.11914929233255361
10.1149/1.1390879,VFT,0.018283789111748133
10.1149/1.1390879,nested_budget_router,0.0192392576304523
10.1149/1.1403730,independent_per_curve_GPR,0.202768313267825
10.1149/1.1403730,VFT,0.01211933256875907
10.1149/1.1403730,nested_budget_router,0.011429186695206262
10.1149/1.1466857,independent_per_curve_GPR,0.06333631222316005
10.1149/1.1466857,VFT,0.01885625041611209
10.1149/1.1466857,nested_budget_router,0.019700932547209282
10.1149/1.1513556,independent_per_curve_GPR,0.281989264411963
10.1149/1.1513556,VFT,0.012225908884864878
10.1149/1.1513556,nested_budget_router,0.01009034517660313
10.1149/1.1527939,independent_per_curve_GPR,0.039706014645253106
10.1149/1.1527939,VFT,0.009216810854121885
10.1149/1.1527939,nested_budget_router,0.011114269682876987
10.1149/1.1566019,independent_per_curve_GPR,0.21238143042918733
10.1149/1.1566019,VFT,0.015144887893578715
10.1149/1.1566019,nested_budget_router,0.008685378389954819
10.1149/1.1630593,independent_per_curve_GPR,0.19544268864934855
10.1149/1.1630593,VFT,0.015801836653669705
10.1149/1.1630593,nested_budget_router,0.008958786865886649
10.1149/1.1833611,independent_per_curve_GPR,0.13842779565270227
10.1149/1.1833611,VFT,0.04844236618136591
10.1149/1.1833611,nested_budget_router,0.0043698719523135665
10.1149/1.1914757,independent_per_curve_GPR,0.1326679570543166
10.1149/1.1914757,VFT,0.005072221144692811
10.1149/1.1914757,nested_budget_router,0.002868968845766286
10.1149/2.0571912jes,independent_per_curve_GPR,0.1577866370673733
10.1149/2.0571912jes,VFT,0.03958300172152596
10.1149/2.0571912jes,nested_budget_router,0.033626910153800565
