held_out_doi,K,n_train,n_test,rf_fit_and_predict_s,vft_select_and_predict_s,gpr_fit_and_predict_s
10.1007/s10008-002-0300-9,3,584,1,3.3980657160282135,0.0008277967572212219,0.054132550954818726
10.1007/s10008-002-0300-9,4,510,1,2.80019798129797,0.0008752681314945221,0.0034049823880195618
10.1007/s10008-002-0300-9,5,456,1,2.7130006290972233,0.0008666664361953735,0.0035027973353862762
10.1016/0378-7753(91)80004-H,3,470,115,2.698198761790991,0.0008876249194145203,0.5345055758953094
10.1016/0378-7753(91)80004-H,4,404,107,2.3436479158699512,0.0008206218481063843,0.5647565275430679
10.1016/0378-7753(91)80004-H,5,357,100,2.326954286545515,0.0008212514221668243,0.5601417049765587
10.1016/S0013-4686(99)00431-4,3,577,8,3.4685787223279476,0.0008949823677539825,0.01988983526825905
10.1016/S0013-4686(99)00431-4,4,503,8,2.7154162488877773,0.0009290874004364014,0.07291107252240181
10.1016/S0013-4686(99)00431-4,5,449,8,2.5210790038108826,0.0007761791348457336,0.07288920879364014
10.1016/j.jpowsour.2010.12.040,3,584,1,3.3899463154375553,0.0008344016969203949,0.0036501362919807434
10.1016/j.jpowsour.2010.12.040,4,510,1,2.91076285764575,0.0008347593247890472,0.0036141052842140198
10.1016/j.jpowsour.2010.12.040,5,456,1,2.5944733135402203,0.0008135028183460236,0.0031132586300373077
10.1016/j.jpowsour.2011.06.030,3,582,3,3.3725714944303036,0.0012028180062770844,0.010488256812095642
10.1016/j.jpowsour.2011.06.030,4,508,3,2.901239510625601,0.0008584558963775635,0.007807910442352295
10.1016/j.jpowsour.2011.06.030,5,454,3,2.681076191365719,0.0008768849074840546,0.008428212255239487
10.1016/j.jpowsour.2011.07.071,3,583,2,3.5111560076475143,0.0008982531726360321,0.006068196147680283
10.1016/j.jpowsour.2011.07.071,4,509,2,2.786738358438015,0.0008214451372623444,0.005511689931154251
10.1016/j.jpowsour.2011.07.071,5,455,2,2.8036345466971397,0.0008266158401966095,0.005544215440750122
10.1021/JE020219O,3,499,86,2.965918608009815,0.00088447704911232,0.4299859032034874
10.1021/JE020219O,4,425,86,2.522106233984232,0.0009215995669364929,0.4144692085683346
10.1021/JE020219O,5,371,86,2.3921145610511303,0.0008498281240463257,0.4906868040561676
10.1021/je0498863,3,541,44,3.1976706348359585,0.0009072795510292053,0.20317822322249413
10.1021/je0498863,4,469,42,2.6026932522654533,0.0008007436990737915,0.20867349579930305
10.1021/je0498863,5,419,38,2.513374902307987,0.0008903928101062775,0.20836152881383896
10.1149/1.1344281,3,573,12,3.270262535661459,0.0009143799543380737,0.029015228152275085
10.1149/1.1344281,4,499,12,2.7728316001594067,0.0008336938917636871,0.08238635584712029
10.1149/1.1344281,5,445,12,2.4351944997906685,0.0008118636906147003,0.07904068008065224
10.1149/1.1390879,3,583,2,3.3901514522731304,0.0008436702191829681,0.005964852869510651
10.1149/1.1390879,4,509,2,3.1926679387688637,0.0009121261537075043,0.005910467356443405
10.1149/1.1390879,5,455,2,2.6028547137975693,0.0008313357830047607,0.005559548735618591
10.1149/1.1403730,3,548,37,3.3003789260983467,0.0008730031549930573,0.1924147941172123
10.1149/1.1403730,4,492,19,2.799981225281954,0.0009172074496746063,0.09796024486422539
10.1149/1.1403730,5,448,9,2.7405400946736336,0.0008413344621658325,0.07581548392772675
10.1149/1.1466857,3,584,1,3.4200755171477795,0.0008451119065284729,0.003603961318731308
10.1149/1.1466857,4,510,1,2.9705800227820873,0.0009527504444122314,0.0038711540400981903
10.1149/1.1466857,5,456,1,2.788601193577051,0.0008452422916889191,0.003228992223739624
10.1149/1.1513556,3,574,11,3.324870493263006,0.0008751377463340759,0.0765622928738594
10.1149/1.1513556,4,503,8,2.7940707467496395,0.0008493512868881226,0.020043641328811646
10.1149/1.1513556,5,453,4,2.7057755179703236,0.0008628964424133301,0.0626230426132679
10.1149/1.1527939,3,565,20,3.0013140439987183,0.0008201673626899719,0.10080422088503838
10.1149/1.1527939,4,491,20,2.5819451957941055,0.0008921325206756592,0.04620435833930969
10.1149/1.1527939,5,437,20,2.502024285495281,0.00088457390666008,0.09823774918913841
10.1149/1.1566019,3,562,23,3.261074058711529,0.0014889352023601532,0.10728040337562561
10.1149/1.1566019,4,500,11,2.8122947104275227,0.000863887369632721,0.07489526271820068
10.1149/1.1566019,5,451,6,2.7068314477801323,0.0008709244430065155,0.015059247612953186
10.1149/1.1630593,3,536,49,3.1185698099434376,0.0008031986653804779,0.2734947241842747
10.1149/1.1630593,4,482,29,2.6928968504071236,0.0010000281035900116,0.11790265887975693
10.1149/1.1630593,5,444,13,2.615373220294714,0.0008298531174659729,0.0850127711892128
10.1149/1.1833611,3,445,140,2.8965655602514744,0.0008839219808578491,0.6966888196766376
10.1149/1.1833611,4,377,134,2.5010278820991516,0.0008854083716869354,0.7014496251940727
10.1149/1.1833611,5,328,129,2.286415755748749,0.0008846782147884369,0.6122590713202953
10.1149/1.1914757,3,559,26,3.1961847729980946,0.0008698143064975739,0.16166436672210693
10.1149/1.1914757,4,489,22,2.797619253396988,0.0008922405540943146,0.10602038353681564
10.1149/1.1914757,5,436,21,2.6373683251440525,0.04947425425052643,0.11466674879193306
10.1149/2.0571912jes,3,581,4,3.2942515052855015,0.0008445568382740021,0.011282946914434433
10.1149/2.0571912jes,4,508,3,3.0966705679893494,0.0009137913584709167,0.008012477308511734
10.1149/2.0571912jes,5,456,1,2.6795128658413887,0.0008629001677036285,0.003202386200428009
